K,1r–10v,1,L5
K,11r–20v,2,L5
K,21r–24v,3,L2
K,25r–36v,4,L6
K,37r–48v,5,L6
K,49r–60v,6,L6
K,61r–72v,7,L6
K,73r–84v,8,L6
K,85r–90v,9,L3
K,91r–92v,10,L1
K,93r–96v,11,L2
K,97r–108v,12,L6
K,109r–115v,13,L4w8
K,116r–125v,14,L6w1_2
K,126r–139v,15,L6mU7
K,140r–149v,16,L5
K,150r–161v,17,L6
K,162r–171v,18,L5
K,172r–183v,19,L5mU4
K,184r–195v,20,L6
K,196r–205v,21,L5
K,206r–211v,22,L3
K,212r–215v,23,L2
K,216r–225v,24,L5
K,226r–237v,25,L6
K,238r–243v,26,L3
K,244r–247v,27,L2
K,248r–249v,28,L1
K,250r–257v,29,L4
K,258r–261v,30,L2
K,262r–273v,31,L5mU8
K,274r–285v,32,L6
K,286r–297v,33,L6
K,298r–307v,34,L5
K,308r–319v,35,L6
K,320r–HSp,,
R,VSp–IIIv,,
R,1r–8v,1,L4
R,9r–16v,2,L4
R,17r–24v,3,L4
R,25r–32v,4,L4
R,33r–40v,5,L4
R,41r–48v,6,L4
R,49r–56v,7,L4
R,57r–57v,8,L1w1
R,58r–63v,9,L3
R,64r–71v,10,L4
R,72r–79v,11,L4
R,80r–87v,12,L4
R,88r–95v,13,L4
R,96r–103v,14,L4
R,104r–109v,15,L3
R,110r–110v,16,L1w1
R,111r–118v,17,L4
R,119r–126v,18,L4
R,127r–134v,19,L4
R,135r–142v,20,L4
R,143r–150v,21,L4
R,151r–158v,22,L4
R,159r–166v,23,L4
R,167r–174v,24,L4
R,175r–181v,25,L4w8
R,I–HSp,,
